+-------+----------+--------+---------+----------+--------------------+--------------------+---------------+---------------+-------+
|row_num|      date|    time| latitude| longitude|               speed|        acceleration|is_accelerating|is_decelerating|is_stop|
+-------+----------+--------+---------+----------+--------------------+--------------------+---------------+---------------+-------+
|      1|2009-04-15|13:44:00|26.162202|119.943787|                 0.0|   3.722979540040798|          false|          false|  false|
|      2|2009-04-15|13:44:05|26.161528|119.943234|   18.61490673250718|  -2.068227268123859|          false|          false|  false|
|      3|2009-04-15|13:44:10|  26.1619|119.943228|   8.273765374171417| -1.0666832133399906|          false|           true|  false|
|      4|2009-04-15|13:44:15|26.161775|119.943276|   2.940356107473505|-0.10729482871178968|          false|           true|  false|
|      5|2009-04-15|13:44:20|26.161667|119.943281|  2.4038816361569615|  0.1301658537706168|          false|          false|  false|
|      6|2009-04-15|13:44:25| 26.16167|119.943128|  3.0547112208048124|   2.521308459821934|           true|          false|  false|
|      7|2009-04-15|13:44:30|26.161566|119.942352|  15.661237446817559|  -2.933421091139979|          false|          false|  false|
|      8|2009-04-15|13:44:35|26.161558|119.942401|  0.9941230302846551| 0.25539882188457097|          false|          false|  false|
|      9|2009-04-15|13:44:40|26.161482|119.942477|   2.271117759329393|-0.34537514691089627|          false|          false|  false|
|     10|2009-04-15|13:44:45|26.161461|119.942491|  0.5442411868618886| 0.09912297752006315|          false|          false|  false|
|     11|2009-04-15|13:44:50| 26.16143| 119.94253|  1.0398554425628352| -0.0920794684995707|          false|          false|  false|
|     12|2009-04-15|13:44:55|26.161413|119.942552|  0.5794578187863262|-0.09403833460265562|          false|          false|  false|
|     13|2009-04-15|13:45:00|26.161411|119.942557|  0.1092659176270858|0.002156777042684049|          false|          false|  false|
|     14|2009-04-15|13:45:05|26.161408|119.942562| 0.12004978909126156|-0.00608007148647...|          false|          false|   true|
|     15|2009-04-15|13:45:10|26.161405|119.942565| 0.08964941308585678|0.002520373929607...|          false|          false|   true|
|     16|2009-04-15|13:45:15|26.161404| 119.94257| 0.10225128884856227|-0.00387379881551...|          false|          false|   true|
